Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Bermese,Urdu,Bengali
GAME_NAME,Trouble Night,麻煩之夜,คืนแห่งปัญหา,Học Viện Ma Quái,Malam Masalah,Noite de Problemas,Noche de problemas,Ночь тревог,Nuit trouble,Problemnacht,Sorunlu Gece,मुसीबत की रात,Noapte de probleme,ليلة المتاعب,ဒုက္ခည,پریشانی کی رات,ঝামেলার রাত
GAME_DESCRIPTION,Trouble Night,麻煩之夜,คืนแห่งปัญหา,Học Viện Ma Quái,Malam Masalah,Noite de Problemas,Noche de problemas,Ночь тревог,Nuit trouble,Problemnacht,Sorunlu Gece,मुसीबत की रात,Noapte de probleme,ليلة المتاعب,ဒုက္ခည,پریشانی کی رات,ঝামেলার রাত
PERIOD_TITLE_1,MATH CLASS,數學課,ชั้นเรียนคณิตศาสตร์,Tiết học Toán,KELAS MATEMATIKA,AULA DE MATEMÁTICA,CLASE DE MATEMÁTICAS,КЛАСС МАТЕМАТИКИ,COURS DE MATHS,MATHEMATIKUNTERRICHT,MATEMATİK DERSİ,गणित की क्लास,CLASA DE MATEMATICA,صف الرياضيات,သင်္ချာအတန်း,ریاضی کی کلاس,ম্যাথ ক্লাস
PERIOD_TITLE_2,FREE FIRE CLASS,免費火力課程,คลาสฟรีไฟร์,Tiết học Free Fire,KELAS FREE FIRE,AULA DE FREE FIRE,CLASE DE FREE FIRE,БЕСПЛАТНЫЙ КЛАСС ПОЖАРНОЙ ТЕХНИКИ,COURS DE TIR GRATUIT,KOSTENLOSE FEUERKLASSE,ÜCRETSİZ ATEŞ DERSİ,फ्री फायर क्लास,CLASA DE FOC GRATUIT,فئة فري فاير,အခမဲ့မီးအတန်း,فری فائر کلاس,ফ্রি ফায়ার ক্লাস
PERIOD_TITLE_3,GYM CLASS,健身課,ชั้นเรียนยิม,Tiết học Thể dục,KELAS GYM,AULA DE GINÁSTICA,CLASE DE GIMNASIA,Уроки физкультуры,COURS DE GYMNASTIQUE,TURNUNTERRICHT,SPOR SALONU DERSİ,जिम कक्षा,CLASA DE GYM,صف رياضي,GYM သင်တန်း,جم کلاس,জিআইএম ক্লাস
PERIOD_TITLE_4,... CLASS,... 班級,... ระดับ,Tiết học ...,... KELAS,... AULA,... CLASE,... СОРТ,... CLASSE,... KLASSE,... SINIF,... कक्षा,... CLASA,... فصل,... CLASS,... کلاس,... ক্লাস
PERIOD_DESC_1,Players must solve math problems and score at least 20 out of 25 points to pass the room.,玩家必須解決數學問題並獲得至少 20 分（滿分 25 分）才能通過該房間。,ผู้เล่นจะต้องแก้ปัญหาคณิตศาสตร์และทำคะแนนอย่างน้อย 20 คะแนนจาก 25 คะแนนจึงจะผ่านห้องนั้นได้,Người chơi sẽ giải các bài toán và đạt được ít nhất 20/25 điểm để qua phòng.,Pemain harus memecahkan soal matematika dan memperoleh skor sedikitnya 20 dari 25 poin untuk lulus ruangan.,Os jogadores devem resolver problemas de matemática e marcar pelo menos 20 de 25 pontos para passar de sala.,Los jugadores deben resolver problemas de matemáticas y obtener al menos 20 de 25 puntos para pasar la sala.,"Чтобы пройти комнату, игрокам необходимо решить математические задачи и набрать не менее 20 из 25 очков.",Les joueurs doivent résoudre des problèmes mathématiques et marquer au moins 20 points sur 25 pour réussir la salle.,"Die Spieler müssen mathematische Aufgaben lösen und mindestens 20 von 25 Punkten erreichen, um den Raum zu bestehen.",Oyuncuların odayı geçebilmeleri için matematik problemlerini çözmeleri ve 25 puandan en az 20 puan almaları gerekiyor.,खिलाड़ियों को गणित की समस्याओं को हल करना होगा तथा कमरे से बाहर निकलने के लिए 25 में से कम से कम 20 अंक प्राप्त करने होंगे।,Jucătorii trebuie să rezolve probleme de matematică și să obțină cel puțin 20 de puncte din 25 pentru a trece sala.,يتعين على اللاعبين حل المسائل الرياضية وتسجيل 20 نقطة على الأقل من أصل 25 نقطة لعبور الغرفة.,ကစားသမားများသည် သင်္ချာပုစ္ဆာများကို ဖြေရှင်းပြီး 25 မှတ်တွင် အနည်းဆုံး 20 မှတ်ရရပါမည်။,کھلاڑیوں کو ریاضی کے مسائل حل کرنے اور کم از کم 25 میں سے 20 پوائنٹس حاصل کرنے کے لیے کمرہ پاس کرنا چاہیے۔,খেলোয়াড়দের অবশ্যই গণিতের সমস্যা সমাধান করতে হবে এবং রুম পাস করতে 25 পয়েন্টের মধ্যে কমপক্ষে 20 স্কোর করতে হবে।
PERIOD_DESC_2,Players must answer Free Fire scenarios and score at least 20 out of 25 points to pass the room.,玩家必須回答 Free Fire 場景並獲得至少 25 分中的 20 分才能通過房間。,ผู้เล่นจะต้องตอบสถานการณ์ Free Fire และทำคะแนนอย่างน้อย 20 คะแนนจาก 25 คะแนนเพื่อผ่านห้องนั้น,Người chơi sẽ trả lời các tình huống Free Fire và đạt được ít nhất 20/25 điểm để qua phòng.,Pemain harus menjawab skenario Free Fire dan mencetak setidaknya 20 dari 25 poin untuk melewati ruangan.,Os jogadores devem responder aos cenários do Free Fire e marcar pelo menos 20 de 25 pontos para passar de sala.,Los jugadores deben responder a los escenarios de Free Fire y obtener al menos 20 de 25 puntos para pasar la sala.,"Чтобы пройти комнату, игрокам необходимо ответить на вопросы сценариев Free Fire и набрать не менее 20 из 25 очков.",Les joueurs doivent répondre aux scénarios Free Fire et marquer au moins 20 points sur 25 pour passer la salle.,"Spieler müssen Free Fire-Szenarien beantworten und mindestens 20 von 25 Punkten erreichen, um den Raum zu bestehen.",Oyuncuların odayı geçebilmeleri için Free Fire senaryolarını cevaplamaları ve 25 puandan en az 20 puan almaları gerekiyor.,खिलाड़ियों को फ्री फायर परिदृश्यों का उत्तर देना होगा और कमरे को पास करने के लिए 25 में से कम से कम 20 अंक स्कोर करना होगा।,Jucătorii trebuie să răspundă la scenariile Free Fire și să obțină cel puțin 20 de puncte din 25 pentru a trece de cameră.,يتعين على اللاعبين الإجابة على سيناريوهات Free Fire وتسجيل 20 نقطة على الأقل من أصل 25 نقطة لعبور الغرفة.,ကစားသမားများသည် Free Fire အခြေအနေများကို ဖြေဆိုပြီး အခန်းကို ကျော်သွားရန်အတွက် အမှတ် 25 တွင် အနည်းဆုံး 20 မှတ်ရရပါမည်။,کھلاڑیوں کو فری فائر منظرناموں کا جواب دینا چاہیے اور کمرے کو پاس کرنے کے لیے 25 میں سے کم از کم 20 پوائنٹس حاصل کرنا چاہیے۔,খেলোয়াড়দের অবশ্যই ফ্রি ফায়ার পরিস্থিতির উত্তর দিতে হবে এবং রুম পাস করতে 25 পয়েন্টের মধ্যে কমপক্ষে 20 স্কোর করতে হবে।
PERIOD_DESC_3,Players will be teleported to the gym to search for the assigned item.,玩家將被傳送到健身房尋找指定的物品。,ผู้เล่นจะถูกส่งตัวไปยังโรงยิมเพื่อค้นหาไอเทมที่ได้รับมอบหมาย,Người chơi sẽ được dịch chuyển đến phòng thể dục và đi tìm vật phẩm được giao.,Pemain akan diteleportasi ke pusat kebugaran untuk mencari item yang ditugaskan.,Os jogadores serão teletransportados para o ginásio para procurar o item atribuído.,Los jugadores serán teletransportados al gimnasio para buscar el objeto asignado.,Игроки будут телепортированы в спортзал для поиска назначенного предмета.,Les joueurs seront téléportés au gymnase pour rechercher l'objet assigné.,"Die Spieler werden in die Turnhalle teleportiert, um nach dem zugewiesenen Gegenstand zu suchen.","Oyuncular, atanan eşyayı aramak için spor salonuna ışınlanacaklar.",खिलाड़ियों को निर्धारित वस्तु की खोज के लिए जिम में भेजा जाएगा।,Jucătorii vor fi teleportați la sală pentru a căuta obiectul atribuit.,سيتم نقل اللاعبين إلى صالة الألعاب الرياضية للبحث عن العنصر المخصص لهم.,သတ်မှတ်ထားသော ပစ္စည်းကို ရှာဖွေရန်အတွက် ကစားသမားများအား အားကစားခန်းမသို့ ပို့ဆောင်ပေးမည်ဖြစ်သည်။,تفویض کردہ شے کی تلاش کے لیے کھلاڑیوں کو جم میں ٹیلی پورٹ کیا جائے گا۔,নির্ধারিত আইটেমটি অনুসন্ধান করতে খেলোয়াড়দের জিমে টেলিপোর্ট করা হবে।
PERIOD_DESC_4,Players will <do something>.,玩家將會<做某件事>。,ผู้เล่นจะ<ทำบางอย่าง>,Người chơi sẽ <làm gì đó>.,Pemain akan <melakukan sesuatu>.,Os jogadores farão <alguma coisa>.,Los jugadores <harán algo>.,Игроки <что-то сделают>.,Les joueurs vont <faire quelque chose>.,Die Spieler werden <etwas tun>.,Oyuncular <bir şeyler yapacak>.,खिलाड़ी <कुछ करेंगे>.,Jucătorii vor <fa ceva>.,اللاعبون سوف يفعلون شيئا ما.,ကစားသမားများသည် <တစ်ခုခုလုပ်မည်>။,کھلاڑی <کچھ کریں گے>۔,খেলোয়াড়রা <কিছু করবে>।
